timestamp,label_text,name,count,filtros_ML,url
2025-09-10T10:37:44.530735,Bencina/Eléctrico,Otros,80,,https://autos.mercadolibre.cl/bencina-electrico/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D3815425%26applied_value_name%3DBencina%2FEl%C3%A9ctrico%26applied_value_order%3D2%26applied_value_results%3D80%26is_custom%3Dfalse
2025-09-10T10:37:44.530865,Bencina/Gas,Otros,28,,https://autos.mercadolibre.cl/bencina-gas/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D3815424%26applied_value_name%3DBencina%2FGas%26applied_value_order%3D3%26applied_value_results%3D28%26is_custom%3Dfalse
2025-09-10T10:37:44.530996,Mild Hybrid,Otros,12,,https://autos.mercadolibre.cl/mild-hybrid/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D50126778%26applied_value_name%3DMild+Hybrid%26applied_value_order%3D7%26applied_value_results%3D12%26is_custom%3Dfalse
2025-09-10T10:37:44.531127,Mild Hybrid/Diesel,Otros,3,,https://autos.mercadolibre.cl/mild-hybrid-diesel/#applied_filter_id%3DFUEL_TYPE%26applied_filter_name%3DTipo+de+combustible%26applied_filter_order%3D7%26applied_value_id%3D50126779%26applied_value_name%3DMild+Hybrid%2FDiesel%26applied_value_order%3D8%26applied_value_results%3D3%26is_custom%3Dfalse
2025-09-10T10:37:44.531257,2026,Otros,16,,https://autos.mercadolibre.cl/2026/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2026-2026%5D%26applied_value_name%3D2026%26applied_value_order%3D1%26applied_value_results%3D16%26is_custom%3Dfalse
2025-09-10T10:37:44.531389,2025,Otros,1182,,https://autos.mercadolibre.cl/2025/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2025-2025%5D%26applied_value_name%3D2025%26applied_value_order%3D2%26applied_value_results%3D1182%26is_custom%3Dfalse
2025-09-10T10:37:44.531528,2024,Otros,2027,,https://autos.mercadolibre.cl/2024/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2024-2024%5D%26applied_value_name%3D2024%26applied_value_order%3D3%26applied_value_results%3D2027%26is_custom%3Dfalse
2025-09-10T10:37:44.531660,2023,Otros,2863,,https://autos.mercadolibre.cl/2023/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2023-2023%5D%26applied_value_name%3D2023%26applied_value_order%3D4%26applied_value_results%3D2863%26is_custom%3Dfalse
2025-09-10T10:37:44.531789,2022,Otros,3099,,https://autos.mercadolibre.cl/2022/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2022-2022%5D%26applied_value_name%3D2022%26applied_value_order%3D5%26applied_value_results%3D3099%26is_custom%3Dfalse
2025-09-10T10:37:44.531919,2021,Otros,2026,,https://autos.mercadolibre.cl/2021/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2021-2021%5D%26applied_value_name%3D2021%26applied_value_order%3D6%26applied_value_results%3D2026%26is_custom%3Dfalse
2025-09-10T10:37:44.532064,2020,Otros,1208,,https://autos.mercadolibre.cl/2020/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2020-2020%5D%26applied_value_name%3D2020%26applied_value_order%3D7%26applied_value_results%3D1208%26is_custom%3Dfalse
2025-09-10T10:37:44.532196,2019,Otros,1516,,https://autos.mercadolibre.cl/2019/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2019-2019%5D%26applied_value_name%3D2019%26applied_value_order%3D8%26applied_value_results%3D1516%26is_custom%3Dfalse
2025-09-10T10:37:44.532326,2018,Otros,1343,,https://autos.mercadolibre.cl/2018/#applied_filter_id%3DVEHICLE_YEAR%26applied_filter_name%3DA%C3%B1o%26applied_filter_order%3D8%26applied_value_id%3D%5B2018-2018%5D%26applied_value_name%3D2018%26applied_value_order%3D9%26applied_value_results%3D1343%26is_custom%3Dfalse
2025-09-10T10:37:44.532520,Hasta $ 10.000.000,Otros,6843,,https://autos.mercadolibre.cl/_PriceRange_0CLP-10000000CLP
2025-09-10T10:37:44.532660,$ 10.000.000 a $ 15.000.000,Otros,5521,,https://autos.mercadolibre.cl/_PriceRange_10000000CLP-15000000CLP
2025-09-10T10:37:44.532793,Más de $ 15.000.000,Otros,8262,,https://autos.mercadolibre.cl/_PriceRange_15000000CLP-0CLP
2025-09-10T10:37:44.532988,Automotora,Otros,15797,,https://autos.mercadolibre.cl/concesionaria/#applied_filter_id%3Dseller_type%26applied_filter_name%3DPublica%26applied_filter_order%3D10%26applied_value_id%3Dcar_dealer%26applied_value_name%3DAutomotora%26applied_value_order%3D1%26applied_value_results%3D15797%26is_custom%3Dfalse
2025-09-10T10:37:44.533184,Particular,Otros,4829,,https://autos.mercadolibre.cl/particular/#applied_filter_id%3Dseller_type%26applied_filter_name%3DPublica%26applied_filter_order%3D10%26applied_value_id%3Dprivate_seller%26applied_value_name%3DParticular%26applied_value_order%3D2%26applied_value_results%3D4829%26is_custom%3Dfalse
2025-09-10T10:37:44.533404,Nuevo,Otros,335,,https://autos.mercadolibre.cl/nuevo/#applied_filter_id%3DITEM_CONDITION%26applied_filter_name%3DCondici%C3%B3n%26applied_filter_order%3D11%26applied_value_id%3D2230284%26applied_value_name%3DNuevo%26applied_value_order%3D1%26applied_value_results%3D335%26is_custom%3Dfalse
2025-09-10T10:37:44.533576,Usado,Otros,20289,,https://autos.mercadolibre.cl/usado/#applied_filter_id%3DITEM_CONDITION%26applied_filter_name%3DCondici%C3%B3n%26applied_filter_order%3D11%26applied_value_id%3D2230581%26applied_value_name%3DUsado%26applied_value_order%3D2%26applied_value_results%3D20289%26is_custom%3Dfalse
2025-09-10T10:37:44.533713,0 km,Otros,335,,https://autos.mercadolibre.cl/_KILOMETERS_0km-0km#applied_filter_id%3DKILOMETERS%26applied_filter_name%3DKil%C3%B3metros%26applied_filter_order%3D12%26applied_value_id%3D%5B0km-0km%5D%26applied_value_name%3D0+km%26applied_value_order%3D2%26applied_value_results%3D335%26is_custom%3Dfalse
2025-09-10T10:37:44.533844,0 a 30.000 km,Otros,4421,,https://autos.mercadolibre.cl/_KILOMETERS_0.001km-30000km#applied_filter_id%3DKILOMETERS%26applied_filter_name%3DKil%C3%B3metros%26applied_filter_order%3D12%26applied_value_id%3D%5B0.001km-30000km%5D%26applied_value_name%3D0+a+30.000+km%26applied_value_order%3D1%26applied_value_results%3D4421%26is_custom%3Dfalse
2025-09-10T10:37:44.533974,30.000 a 60.000 km,Otros,4820,,https://autos.mercadolibre.cl/_KILOMETERS_30000km-60000km#applied_filter_id%3DKILOMETERS%26applied_filter_name%3DKil%C3%B3metros%26applied_filter_order%3D12%26applied_value_id%3D%5B30000km-60000km%5D%26applied_value_name%3D30.000+a+60.000+km%26applied_value_order%3D4%26applied_value_results%3D4820%26is_custom%3Dfalse
2025-09-10T10:37:44.534103,60.000 a 100.000 km,Otros,5070,,https://autos.mercadolibre.cl/_KILOMETERS_60000km-100000km#applied_filter_id%3DKILOMETERS%26applied_filter_name%3DKil%C3%B3metros%26applied_filter_order%3D12%26applied_value_id%3D%5B60000km-100000km%5D%26applied_value_name%3D60.000+a+100.000+km%26applied_value_order%3D5%26applied_value_results%3D5070%26is_custom%3Dfalse
2025-09-10T10:37:44.534235,100.000 km o más,Otros,6096,,https://autos.mercadolibre.cl/_KILOMETERS_100000km-*#applied_filter_id%3DKILOMETERS%26applied_filter_name%3DKil%C3%B3metros%26applied_filter_order%3D12%26applied_value_id%3D%5B100000km-*%29%26applied_value_name%3D100.000+km+o+m%C3%A1s%26applied_value_order%3D3%26applied_value_results%3D6096%26is_custom%3Dfalse
